Kreise_Code,year,gdp_percap,lngdp_percap,ln_diff(1),earthquake,flood,extreme_temp,storm,hotdays99TMK_hgt+hav_2010,colddays01TMK_hgt+hav_2010,hotdays99TMK_hgt+hav_2020,colddays01TMK_hgt+hav_2020,hotdays95TMK_hgt+hav_2010,colddays05TMK_hgt+hav_2010,hotdays95TMK_hgt+hav_2020,colddays05TMK_hgt+hav_2020,TMK,TMK_hgt+hav,TMK_hgt+hav2
8211,1995,31801,10.36725301,-0.001822181,0,0,0,1,2,6,1,9,7,19,6,26,9.345957821,9.741102652,94.88908089
8211,1996,32397,10.3858211,0.01856809,0,0,0,0,1,14,1,15,4,41,4,46,7.948812879,8.209956322,67.40338282
8211,1997,33591,10.42201345,0.036192348,0,0,0,0,4,4,5,4,17,16,15,20,9.616357207,9.86328222,97.28433615
8211,1998,34694,10.45432204,0.032308587,0,0,0,1,6,9,5,9,16,25,17,28,9.689616935,9.956729604,99.1364644
8211,1999,36326,10.50028902,0.045966977,0,0,0,0,2,2,1,2,20,15,15,19,9.904081861,10.08082202,101.6229725
8211,2000,36703,10.51061377,0.010324757,0,0,0,0,1,2,1,2,15,12,11,15,10.60290956,10.75497462,115.669479
8211,2001,37643,10.53590229,0.025288518,0,0,0,0,4,2,5,3,19,8,20,11,10.3041001,10.73070332,115.1479937
8211,2002,38803,10.56625284,0.030350549,0,1,0,0,3,5,2,6,23,13,22,17,10.5034319,10.84004913,117.5066652
8211,2003,39971,10.59590947,0.029656628,0,0,1,0,5,5,7,5,31,22,23,23,10.37873368,10.66763267,113.7983867
8211,2004,41205,10.62631489,0.030405417,0,0,0,0,2,1,2,2,14,15,13,17,9.264635243,9.908534697,98.17905984
8211,2005,41140,10.62473616,-0.001578724,0,0,0,0,5,6,2,7,29,23,27,25,9.955520993,9.955520993,99.11239825
8211,2006,42560,10.65867012,0.033933961,0,0,1,2,8,7,4,5,30,26,25,31,10.52515233,10.52515233,110.7788316
8211,2007,44707,10.70788537,0.049215244,0,0,0,0,8,1,7,1,29,15,31,21,10.66782386,10.66782386,113.8024659
