,1991-2005_hotdays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays,2011-2020_colddays
1001,10.184340208067166,10.239094725314839,12.32876712328767,13.150684931506849,10.073911853271284,10.375034218450589,10.360565951620265,10.4518484710178,,
1003,10.213078618662747,10.213078618662747,10.245151847786316,10.409806073911453,10.156036134683822,10.429783739392281,10.268474951563798,10.240797121505674,10.290889132821075,10.345773874862788
10044,10.13501017199926,10.171999260218236,10.375275938189846,10.393671817512876,10.101286613742129,10.402408978921434,10.201793721973095,10.257847533632287,10.298177802319161,10.574268360022087
1004,10.366855265559408,10.421609782807082,10.241076434311344,10.409269295458794,10.23816041609636,10.785655625513277,10.034013605442176,10.40249433106576,10.331597697999452,10.5234310770074
1051,10.184340208067166,10.220843219565614,10.129585690819493,10.202591713816389,10.183410895154667,10.56665754174651,10.104052573932092,10.377875136911282,10.046537092800438,10.347659457979743
1054,10.14225013855533,10.197672270460004,10.147837196568718,10.239094725314839,10.090485330408555,10.36468330134357,10.161469933184856,10.2728285077951,10.128661374212976,10.402408978921434
1055,10.07483117357182,10.147837196568718,10.093082679321045,10.184340208067166,10.073911853271284,10.347659457979743,10.049288061336254,10.350492880613363,10.101286613742129,10.511908020804817
1056,10.184340208067166,10.184340208067166,10.202591713816389,10.184340208067166,10.128661374212976,10.375034218450589,10.049288061336254,10.377875136911282,10.046537092800438,10.457158499863127
1057,10.113386978785663,10.223116313094367,10.478654592496765,10.571058953982629,10.046537092800438,10.484533260333972,10.359116022099448,10.414364640883978,10.260676650027731,10.45479755962285
1058,10.111334185070268,10.184340208067166,10.162675927618352,10.199232315847194,10.046537092800438,10.320284697508896,10.021905805038335,10.323110624315444,10.068587105624143,10.315500685871056
1059,10.07483117357182,10.147837196568718,10.147837196568718,10.220843219565614,10.046537092800438,10.402408978921434,10.104052573932092,10.350492880613363,10.073911853271284,10.347659457979743
1060,10.147837196568718,10.348603759810185,10.275597736813287,10.33035225406096,10.073911853271284,10.347659457979743,10.213581599123767,10.542168674698795,10.347659457979743,10.511908020804817
1062,10.111334185070268,10.184340208067166,10.169800985941208,10.352382691254336,10.046537092800438,10.402408978921434,10.076670317634173,10.377875136911282,10.325938099150918,10.709394686387292
11000,10.07483117357182,10.147837196568718,10.093082679321045,10.184340208067166,10.019162332329593,10.347659457979743,10.049288061336254,10.323110624315444,10.046537092800438,10.457158499863127
12051,10.415200562983815,10.579404175463289,10.355571847507331,10.373900293255131,10.511908020804817,10.703531344100739,10.344827586206897,10.426929392446635,10.275482093663912,10.413223140495868
12052,10.184340208067166,10.33035225406096,10.283623055809699,10.30192131747484,10.101286613742129,10.484533260333972,10.213581599123767,10.514786418400876,10.332508931025007,10.277548777136577
12060,10.117025292563232,10.192525481313703,10.093082679321045,10.166088702317941,10.023041474654377,10.28225806451613,10.15881708652793,10.350492880613363,10.156036134683822,10.320284697508896
