,year,hist0,hist1,winter05,winter95,spring05,spring95,summer05,summer95,autumn05,autumn95,Kreise_Code
0,2000,1965,1995,-10.0679611,4.766707563,-3.093615378,13.61405716,7.535117878,19.69213679,-2.644344382,15.16337381,9780
1,2001,1966,1996,-10.18992275,4.736861664,-3.08714662,13.65679032,7.535117878,19.66048593,-2.636267563,15.16337381,9780
2,2002,1967,1997,-9.916742239,4.708208825,-3.046483197,13.65064149,7.584610952,19.63783278,-2.539749832,15.13745592,9780
3,2003,1968,1998,-9.764219674,4.788156613,-3.093615378,13.68930595,7.628797954,19.67752784,-2.644344382,15.11146387,9780
4,2004,1969,1999,-9.790874656,4.78830486,-3.061375157,13.69403056,7.630401802,19.6445143,-2.80065647,15.1887054,9780
5,2005,1970,2000,-9.636009685,4.857791667,-3.026926385,13.70525718,7.751785954,19.67752784,-2.673040557,15.1887054,9780
6,2006,1971,2001,-9.524549871,4.886618828,-2.805348229,13.80413346,7.737883367,19.6982754,-2.834083047,15.13745592,9780
7,2007,1972,2002,-9.477330732,5.025894364,-2.627278488,13.80413346,7.809147115,19.73561561,-2.734119071,15.14707878,9780
8,2008,1973,2003,-9.687771777,5.026157774,-2.66955526,13.90285312,7.938443965,19.89133564,-2.673040557,15.19143399,9780
9,2009,1974,2004,-9.661487532,5.088339224,-2.565385415,13.87160062,7.938443965,19.90011803,-2.71990954,15.18182689,9780
10,2010,1975,2005,-9.74741877,5.025894364,-2.697726465,13.98742268,8.091135789,19.93120249,-2.896224915,15.1887054,9780
11,2011,1976,2006,-9.764219674,5.065559167,-2.817901844,13.98742268,8.100612725,20.08106108,-2.80065647,15.2760791,9780
12,2012,1977,2007,-9.688232795,5.117353204,-2.697726465,14.05394277,8.130549814,20.10465944,-2.919147856,15.27819779,9780
13,2013,1978,2008,-9.688166982,5.184722042,-2.741894149,14.11863483,8.110052375,20.11027708,-2.9168663,15.28515572,9780
14,2014,1979,2009,-9.765053651,5.095912869,-2.76235198,14.29281454,8.202230073,20.12692691,-2.82123227,15.34112773,9780
15,2015,1980,2010,-9.74741877,5.065559167,-2.895573222,14.23860764,8.229467531,20.22239441,-2.80065647,15.28467487,9780
16,2016,1981,2011,-9.70890101,5.090083348,-2.834759508,14.40199578,8.353643446,20.30379552,-2.644344382,15.3089332,9780
17,2017,1982,2012,-9.819488185,5.101274217,-2.819262862,14.43755765,8.397569414,20.39285104,-2.608195904,15.34112773,9780
18,2018,1983,2013,-9.880752377,5.101274217,-2.868988552,14.40437583,8.361933413,20.4868663,-2.658628845,15.2760791,9780
19,2019,1984,2014,-9.800981501,5.091003516,-2.852222715,14.41870842,8.397569414,20.47508597,-2.608195904,15.2760791,9780
20,2020,1985,2015,-9.713588912,5.11355,-2.775440313,14.45009992,8.448223372,20.59637544,-2.653228225,15.26649933,9780
21,2000,1965,1995,-8.851955967,6.650172918,-0.261939814,16.55708925,10.64561132,22.21112126,-1.014427953,16.52267358,9779
22,2001,1966,1996,-8.904306503,6.594724534,-0.261939814,16.61549698,10.68171296,22.20770625,-0.913084173,16.51687943,9779
23,2002,1967,1997,-8.847268526,6.534148921,-0.209550637,16.61549698,10.69606244,22.17926728,-0.832331359,16.50280051,9779
24,2003,1968,1998,-8.847268526,6.624676824,-0.226345679,16.61549698,10.72878838,22.22063876,-0.893196208,16.47407474,9779
25,2004,1969,1999,-8.703586737,6.662365912,-0.159976565,16.61549698,10.76716424,22.23854969,-0.913084173,16.61824321,9779
26,2005,1970,2000,-8.639057964,6.762308168,-0.070196623,16.64745285,10.85402595,22.24559549,-0.848645289,16.67032647,9779
27,2006,1971,2001,-8.639057964,6.811877186,0.114129433,16.76405618,10.85402595,22.30040398,-0.913084173,16.64841264,9779
28,2007,1972,2002,-8.541474165,6.934322041,0.207612149,16.7294209,10.90493916,22.30040398,-0.848645289,16.67032647,9779
29,2008,1973,2003,-8.628801929,6.948349049,0.194145007,16.83196917,10.95582916,22.48385242,-0.744790518,16.69717146,9779
30,2009,1974,2004,-8.541474165,6.994640259,0.176609974,16.79926877,11.00794345,22.52717703,-0.705715899,16.69424593,9779
31,2010,1975,2005,-8.639057964,6.870864126,0.079760826,16.86767918,11.04461479,22.66339585,-0.848645289,16.73788676,9779
32,2011,1976,2006,-8.640389628,6.91204716,-0.093403623,16.85896334,11.04183942,22.77313709,-0.705715899,16.77541792,9779
33,2012,1977,2007,-8.496042231,7.037062813,0.132859116,16.92229169,11.06792513,22.76161833,-0.848645289,16.7677777,9779
34,2013,1978,2008,-8.493830786,7.061262055,0.149015883,17.10585261,11.06792513,22.76161833,-0.878806696,16.85553722,9779
35,2014,1979,2009,-8.62819803,7.045077254,0.132859116,17.12801683,11.22414578,22.7669274,-0.832331359,16.94862998,9779
36,2015,1980,2010,-8.47428045,6.963349098,-0.086681712,17.02981405,11.23231361,22.85844424,-0.893196208,16.89719005,9779
37,2016,1981,2011,-8.356349754,7.004509949,-0.093403623,17.1420636,11.37669037,22.8661525,-0.652159714,16.95020993,9779
